filepath,sentence
audio_data_aug/train/wavs/noise-B02___13_Mark________ISLICEN1DA_70.wav,það sem ég segi yður það segi ég öllum
audio_data_aug/train/wavs/noise-B02___05_Mark________ISLICEN1DA_05.wav,og sleit fjötrana og gat enginn ráðið við hann
audio_data_aug/train/wavs/noise-B07___11_1CorinthiansISLICEN1DA_58.wav,ef
audio_data_aug/train/wavs/noise-B27___03_Revelation__ISLICEN1DA_31.wav,og nafnið mitt hið nýja
audio_data_aug/train/wavs/noise-B04___11_John________ISLICEN1DA_02.wav,þorpi maríu og mörtu systur hennar
audio_data_aug/train/wavs/noise-B07___15_1CorinthiansISLICEN1DA_47.wav,er lagði alla hluti undir hann svo að guð verði allt í öllu
audio_data_aug/train/wavs/noise-B05___04_Acts________ISLICEN1DA_29.wav,við getum ekki neitað því
audio_data_aug/train/wavs/noise-B07___14_1CorinthiansISLICEN1DA_33.wav,ég vil einnig lofsyngja með skilningi
audio_data_aug/train/wavs/noise-B04___11_John________ISLICEN1DA_30.wav,og sagði síðan við þá
audio_data_aug/train/wavs/noise-B05___21_Acts________ISLICEN1DA_79.wav,þegar komið var að þrepunum urðu hermennirnir að bera hann vegna ofsans í fólkinu
audio_data_aug/train/wavs/noise-B01___12_Matthew_____ISLICEN1DA_51.wav,né í hinum komanda
audio_data_aug/train/wavs/noise-B03___18_Luke________ISLICEN1DA_98.wav,trú þín hefur bjargað þér
audio_data_aug/train/wavs/noise-B03___23_Luke________ISLICEN1DA_31.wav,en skylt var honum að gefa þeim lausan einn bandingja á hverri hátíð
audio_data_aug/train/wavs/noise-B04___07_John________ISLICEN1DA_62.wav,þegar kristur kemur veit enginn hvaðan hann er
audio_data_aug/train/wavs/noise-B04___21_John________ISLICEN1DA_41.wav,og tekur brauðið
audio_data_aug/train/wavs/noise-B10___02_Ephesians___ISLICEN1DA_22.wav,þið stóðuð fyrir utan sáttmálana og fyrirheit guðs vonlausir og guðvana í heiminum
audio_data_aug/train/wavs/noise-B04___17_John________ISLICEN1DA_19.wav,að ég er frá þér út genginn
audio_data_aug/train/wavs/noise-B06___16_Romans______ISLICEN1DA_14.wav,þau skara fram úr meðal postulanna og gengu kristi á hönd á undan mér
audio_data_aug/train/wavs/noise-B23___05_1John_______ISLICEN1DA_02.wav,og hver sem elskar föðurinn elskar einnig barn hans
audio_data_aug/train/wavs/noise-B27___05_Revelation__ISLICEN1DA_25.wav,og tungu lýð og þjóð og
audio_data_aug/train/wavs/noise-B06___01_Romans______ISLICEN1DA_50.wav,bæði hafa konur breytt eðlilegum mökum í óeðlileg og eins hafa karlar hætt eðlilegum mökum við konur og brunnið í losta hver
audio_data_aug/train/wavs/noise-B08___07_2CorinthiansISLICEN1DA_07.wav,í allri þrenging minni
audio_data_aug/train/wavs/noise-B03___23_Luke________ISLICEN1DA_80.wav,minnst þú mín þegar þú kemur í ríki þitt
audio_data_aug/train/wavs/noise-B05___04_Acts________ISLICEN1DA_04.wav,en mörg þeirra er heyrt höfðu orðið tóku trú og tala karlmannanna einna
audio_data_aug/train/wavs/noise-B04___16_John________ISLICEN1DA_40.wav,og aftur innan skamms munuð þér sjá mig
audio_data_aug/train/wavs/noise-B19___09_Hebrews_____ISLICEN1DA_04.wav,en bak við annað fortjaldið var tjaldbúð sem hét hið allra helgasta
audio_data_aug/train/wavs/noise-B03___17_Luke________ISLICEN1DA_47.wav,sjá þar er það
audio_data_aug/train/wavs/noise-B02___15_Mark________ISLICEN1DA_37.wav,þeir báru honum vín blandað myrru en hann þáði ekki
audio_data_aug/train/wavs/noise-B01___26_Matthew_____ISLICEN1DA_46.wav,því að ritað er ég mun slá hirðinn og sauðir hjarðarinnar munu tvístrast
audio_data_aug/train/wavs/noise-B03___11_Luke________ISLICEN1DA_86.wav,enn sagði jesús
audio_data_aug/train/wavs/noise-B04___01_John________ISLICEN1DA_22.wav,orðið varð hold hann bjó með oss fullur náðar og sannleika
audio_data_aug/train/wavs/noise-B01___21_Matthew_____ISLICEN1DA_04.wav,og mun hann jafnskjótt senda þau þetta varð svo að rættist það sem spámaðurinn sagði fyrir um
audio_data_aug/train/wavs/noise-B19___10_Hebrews_____ISLICEN1DA_26.wav,og bíður þess síðan að óvinir hans verði gerðir að fótskör hans
audio_data_aug/train/wavs/noise-B05___16_Acts________ISLICEN1DA_43.wav,menn þessir valda mestu óspektum í borg okkar
audio_data_aug/train/wavs/noise-B03___01_Luke________ISLICEN1DA_55.wav,og engillinn sagði við hana
audio_data_aug/train/wavs/noise-B23___02_1John_______ISLICEN1DA_36.wav,elskið hvorki heiminn né það sem í heiminum er
audio_data_aug/train/wavs/noise-B01___26_Matthew_____ISLICEN1DA_62.wav,vakið og biðjið svo að þið fallið ekki í freistni andinn er reiðubúinn
audio_data_aug/train/wavs/noise-B04___19_John________ISLICEN1DA_49.wav,æptu menn
audio_data_aug/train/wavs/noise-B03___06_Luke________ISLICEN1DA_102.wav,góður maður ber gott fram úr góðum sjóði hjarta síns
audio_data_aug/train/wavs/noise-B09___04_Galatians___ISLICEN1DA_09.wav,en þar eð þið eruð börn þá hefur guð sent anda sonar síns í hjörtu okkar
audio_data_aug/train/wavs/noise-B01___21_Matthew_____ISLICEN1DA_53.wav,en tollheimtumenn og skækjur trúðu honum það sáuð þið en tókuð samt
audio_data_aug/train/wavs/noise-B19___12_Hebrews_____ISLICEN1DA_41.wav,að móse sagði ég er mjög hræddur og skelfdur
audio_data_aug/train/wavs/noise-B07___01_1CorinthiansISLICEN1DA_30.wav,getur enginn sagt að þið séuð skírð til nafns míns
audio_data_aug/train/wavs/noise-B01___19_Matthew_____ISLICEN1DA_40.wav,allt og mannssonurinn situr í dýrðarhásæti sínu munuð þið sem fylgið mér einnig sitja í tólf hásætum
audio_data_aug/train/wavs/noise-B06___09_Romans______ISLICEN1DA_72.wav,þeir hnutu um ásteytingarsteininn eins og ritað er
audio_data_aug/train/wavs/noise-B05___13_Acts________ISLICEN1DA_49.wav,bræður niðjar abrahams og aðrir ykkar á meðal sem óttast guð
audio_data_aug/train/wavs/noise-B03___11_Luke________ISLICEN1DA_97.wav,eins og þegar lampi lýsir á þig með loga sínum
audio_data_aug/train/wavs/noise-B04___03_John________ISLICEN1DA_43.wav,ljósið er komið í heiminn
audio_data_aug/train/wavs/noise-B01___26_Matthew_____ISLICEN1DA_52.wav,eins töluðu allir lærisveinarnir
audio_data_aug/train/wavs/noise-B05___23_Acts________ISLICEN1DA_08.wav,þeir sem hjá stóðu sögðu
audio_data_aug/train/wavs/noise-B05___20_Acts________ISLICEN1DA_40.wav,ég þjónaði drottni í allri auðmýkt með tárum og í raunum sem að mér hafa steðjað af launráðum gyðinga
audio_data_aug/train/wavs/noise-B03___03_Luke________ISLICEN1DA_34.wav,hermenn spurðu hann einnig en hvað eigum við að gera
audio_data_aug/train/wavs/noise-B04___18_John________ISLICEN1DA_83.wav,og um leið gól hani
audio_data_aug/train/wavs/noise-B05___22_Acts________ISLICEN1DA_48.wav,og gætti klæða þeirra sem tóku hann af lífi
audio_data_aug/train/wavs/noise-B09___05_Galatians___ISLICEN1DA_19.wav,ég hef það traust til ykkar í drottni að þið verðið sama sinnis og ég
audio_data_aug/train/wavs/noise-B19___07_Hebrews_____ISLICEN1DA_26.wav,en ekki að hætti arons
audio_data_aug/train/wavs/noise-B03___10_Luke________ISLICEN1DA_68.wav,jesús sagði við hann
audio_data_aug/train/wavs/noise-B07___07_1CorinthiansISLICEN1DA_83.wav,sem kvænist henni ekki hann gerir enn betur
audio_data_aug/train/wavs/noise-B19___05_Hebrews_____ISLICEN1DA_01.wav,sérhver æðsti prestur er tekinn úr flokki manna og settur í þágu manna til að þjóna frammi fyrir guði
audio_data_aug/train/wavs/noise-B01___22_Matthew_____ISLICEN1DA_35.wav,allir höfðu þeir átt hana en jesús svaraði þeim þið villist
audio_data_aug/train/wavs/noise-B01___10_Matthew_____ISLICEN1DA_19.wav,en þeirri borg
audio_data_aug/train/wavs/noise-B04___16_John________ISLICEN1DA_11.wav,hvert fer þú
audio_data_aug/train/wavs/noise-B03___11_Luke________ISLICEN1DA_31.wav,og fyrir yður mun upp lokið verða
audio_data_aug/train/wavs/noise-B01___03_Matthew_____ISLICEN1DA_06.wav,og hafði til matar engisprettur og villihunang
audio_data_aug/train/wavs/noise-B02___14_Mark________ISLICEN1DA_150.wav,þar sá þernan hann og fór enn að segja við þá sem hjá stóðu þessi er einn af þeim
audio_data_aug/train/wavs/noise-B03___10_Luke________ISLICEN1DA_20.wav,guðs ríki er komið í nánd við yður
audio_data_aug/train/wavs/noise-B05___07_Acts________ISLICEN1DA_02.wav,er þessu svo farið
audio_data_aug/train/wavs/noise-B03___08_Luke________ISLICEN1DA_38.wav,en það er féll í góða jörð merkir þá sem heyra orðið og geyma það
audio_data_aug/train/wavs/noise-B03___08_Luke________ISLICEN1DA_24.wav,hinir fá þá í dæmisögum að sjáandi sjái þeir ekki og heyrandi skilji þeir ekki
audio_data_aug/train/wavs/noise-B19___10_Hebrews_____ISLICEN1DA_16.wav,en það eru einmitt þær sem fram eru bornar samkvæmt lögmálinu
audio_data_aug/train/wavs/noise-B05___10_Acts________ISLICEN1DA_75.wav,því að guð var með honum
audio_data_aug/train/wavs/noise-B27___19_Revelation__ISLICEN1DA_32.wav,hann var skrýddur skikkju blóði drifinni og nafn hans er orðið
audio_data_aug/train/wavs/noise-B04___08_John________ISLICEN1DA_90.wav,sem faðirinn hefur kennt mér
audio_data_aug/train/wavs/noise-B05___04_Acts________ISLICEN1DA_28.wav,því að öllum jerúsalembúum er það ljóst að þeir hafa gert ótvírætt tákn
audio_data_aug/train/wavs/noise-B06___14_Romans______ISLICEN1DA_44.wav,sæll er sá sem þarf ekki að áfella sig fyrir það sem hann telur vera rétt
audio_data_aug/train/wavs/noise-B04___10_John________ISLICEN1DA_75.wav,og ég þekki þá
audio_data_aug/train/wavs/noise-B03___23_Luke________ISLICEN1DA_38.wav,í þriðja sinn sagði pílatus við þá
audio_data_aug/train/wavs/noise-B03___17_Luke________ISLICEN1DA_67.wav,og tortímdi öllum
audio_data_aug/train/wavs/noise-B19___13_Hebrews_____ISLICEN1DA_33.wav,hlýðið
audio_data_aug/train/wavs/noise-B27___04_Revelation__ISLICEN1DA_06.wav,þar stóð hásæti á himni og einhver sat í því sem var ásýndum líkur jaspissteini
audio_data_aug/train/wavs/noise-B27___14_Revelation__ISLICEN1DA_42.wav,beittu sigð þinni og skerðu upp því að kominn er uppskerutíminn
audio_data_aug/train/wavs/noise-B05___15_Acts________ISLICEN1DA_25.wav,þegar þeir höfðu lokið máli sínu sagði jakob
audio_data_aug/train/wavs/noise-B11___01_Philippians_ISLICEN1DA_39.wav,kristi
audio_data_aug/train/wavs/noise-B02___04_Mark________ISLICEN1DA_41.wav,ekki bera menn inn ljós og setja það undir mæliker eða bekk er
audio_data_aug/train/wavs/noise-B07___03_1CorinthiansISLICEN1DA_25.wav,hey eða hálm
audio_data_aug/train/wavs/noise-B07___12_1CorinthiansISLICEN1DA_29.wav,hvar væri þá heyrnin ef
audio_data_aug/train/wavs/noise-B06___05_Romans______ISLICEN1DA_26.wav,samt ríkti dauðinn frá adam til móse einnig yfir þeim sem höfðu ekki syndgað á sömu lund og adam
audio_data_aug/train/wavs/noise-B04___08_John________ISLICEN1DA_171.wav,að sjá dag minn
audio_data_aug/train/wavs/noise-B01___06_Matthew_____ISLICEN1DA_58.wav,hverjum degi nægir sín þjáning
audio_data_aug/train/wavs/noise-B03___13_Luke________ISLICEN1DA_56.wav,kostið kapps um að komast inn um þröngu dyrnar
audio_data_aug/train/wavs/noise-B07___09_1CorinthiansISLICEN1DA_19.wav,jú okkar vegna stendur skrifað að sá sem plægir og sá sem þreskir
audio_data_aug/train/wavs/noise-B23___02_1John_______ISLICEN1DA_12.wav,þið elskuðu
audio_data_aug/train/wavs/noise-B23___02_1John_______ISLICEN1DA_48.wav,ef þeir hefðu heyrt okkur til þá hefðu þeir áfram verið með okkur
audio_data_aug/train/wavs/noise-B16___01_2Timothy____ISLICEN1DA_06.wav,ég þrái að sjá þig minnugur tára þinna til þess að ég fyllist gleði er ég rifja upp fyrir mér
audio_data_aug/train/wavs/noise-B05___28_Acts________ISLICEN1DA_53.wav,og snúi sér og ég lækni þá
audio_data_aug/train/wavs/noise-B03___14_Luke________ISLICEN1DA_61.wav,far þú út um stíga og vegi og þrýstu á menn að koma inn svo að hús mitt fyllist
audio_data_aug/train/wavs/noise-B01___14_Matthew_____ISLICEN1DA_21.wav,þá tók hann brauðin fimm og fiskana tvo leit upp til himins þakkaði guði braut brauðin og gaf lærisveinunum en þeir fólkinu
audio_data_aug/train/wavs/noise-B04___19_John________ISLICEN1DA_14.wav,takið þið hann og krossfestið
audio_data_aug/train/wavs/noise-B04___15_John________ISLICEN1DA_21.wav,ef þér haldið boðorð mín verðið þér stöðug í elsku minni eins og ég hef haldið boðorð föður míns
audio_data_aug/train/wavs/noise-B19___12_Hebrews_____ISLICEN1DA_09.wav,hafið þið gleymt hvernig guð hvetur ykkur eins og börn sín
audio_data_aug/train/wavs/noise-B09___02_Galatians___ISLICEN1DA_34.wav,en við vitum að maðurinn réttlætist ekki af lögmálsverkum heldur fyrir trú
audio_data_aug/train/wavs/noise-B04___17_John________ISLICEN1DA_20.wav,og trúa því að þú hafir sent mig
audio_data_aug/train/wavs/noise-B04___13_John________ISLICEN1DA_62.wav,hann sagði beinum orðum
audio_data_aug/train/wavs/noise-B07___15_1CorinthiansISLICEN1DA_40.wav,síðan kemur endirinn er kristur selur ríkið guði föður í hendur er hann hefur að engu gert sérhverja tign
audio_data_aug/train/wavs/noise-B02___04_Mark________ISLICEN1DA_09.wav,og sumt féll meðal þyrna og þyrnarnir uxu og kæfðu það
audio_data_aug/train/wavs/noise-B01___24_Matthew_____ISLICEN1DA_39.wav,mannssonurinn kemur eins og elding sem leiftrar frá austri til vesturs
audio_data_aug/train/wavs/noise-B03___07_Luke________ISLICEN1DA_113.wav,en hinn fimmtíu
audio_data_aug/train/wavs/noise-B01___13_Matthew_____ISLICEN1DA_14.wav,hver sem eyru hefur hann heyri þá komu lærisveinarnir til hans og spurðu
audio_data_aug/train/wavs/noise-B19___09_Hebrews_____ISLICEN1DA_29.wav,ekki fór hann með blóð hafra og kálfa heldur með eigið blóð
audio_data_aug/train/wavs/noise-B05___13_Acts________ISLICEN1DA_85.wav,svo hlaut að vera að orð guðs væri fyrst flutt ykkur
audio_data_aug/train/wavs/noise-B06___10_Romans______ISLICEN1DA_12.wav,það er
audio_data_aug/train/wavs/noise-B05___08_Acts________ISLICEN1DA_08.wav,filippus fór norður til höfuðborgar samaríu og prédikaði krist þar
audio_data_aug/train/wavs/noise-B05___09_Acts________ISLICEN1DA_04.wav,hvort heldur karla eða konur en
audio_data_aug/train/wavs/noise-B03___19_Luke________ISLICEN1DA_46.wav,þú vissir að ég er maður strangur sem tek það út sem ég lagði ekki inn og uppsker það sem ég sáði ekki
audio_data_aug/train/wavs/noise-B23___01_1John_______ISLICEN1DA_11.wav,ef við segjum við höfum samfélag við hann og göngum þó í myrkrinu
audio_data_aug/train/wavs/noise-B03___23_Luke________ISLICEN1DA_39.wav,hvað illt hefur þá þessi maður gert
audio_data_aug/train/wavs/noise-B13___01_1Thess______ISLICEN1DA_01.wav,páll silvanus og tímóteus heilsa söfnuði þessaloníkumanna
audio_data_aug/train/wavs/noise-B17___03_Titus_______ISLICEN1DA_08.wav,heldur frelsaði hann okkur af miskunn sinni
audio_data_aug/train/wavs/noise-B20___03_James_______ISLICEN1DA_24.wav,en ef beiskur ofsi og eigingirni býr í hjarta ykkar þá stærið ykkur ekki
audio_data_aug/train/wavs/noise-B06___09_Romans______ISLICEN1DA_30.wav,fjarri fer því
audio_data_aug/train/wavs/noise-B10___02_Ephesians___ISLICEN1DA_14.wav,það er guðs gjöf
audio_data_aug/train/wavs/noise-B03___24_Luke________ISLICEN1DA_85.wav,ég sendi ykkur andann sem faðir minn hét ykkur en verið kyrr í borginni uns þið íklæðist krafti frá hæðum
audio_data_aug/train/wavs/noise-B03___14_Luke________ISLICEN1DA_52.wav,konu hef ég eignast ekki get ég komið
audio_data_aug/train/wavs/noise-B21___02_1Peter______ISLICEN1DA_25.wav,hegðið ykkur vel meðal þjóðanna til þess að þeir sem nú hallmæla ykkur sem illgjörðamönnum
audio_data_aug/train/wavs/noise-B13___04_1Thess______ISLICEN1DA_04.wav,hann vill að þið haldið ykkur frá óskírlífi að sérhvert ykkar temji sér að halda líkama sínum í helgun
audio_data_aug/train/wavs/noise-B01___16_Matthew_____ISLICEN1DA_15.wav,og hve margar körfur þið tókuð saman hvernig má það vera að þið skynjið ekki að ég var ekki að tala um brauð við ykkur
audio_data_aug/train/wavs/noise-B27___19_Revelation__ISLICEN1DA_35.wav,og af munni hans gekk út biturt sverð til að slá þjóðirnar með
audio_data_aug/train/wavs/noise-B05___14_Acts________ISLICEN1DA_06.wav,þeir töluðu einarðlega í trausti til drottins og hann staðfesti orð náðar sinnar með táknum og undrum
audio_data_aug/train/wavs/noise-B01___05_Matthew_____ISLICEN1DA_78.wav,þér hafið heyrt að sagt var
audio_data_aug/train/wavs/noise-B01___16_Matthew_____ISLICEN1DA_01.wav,þá komu farísear og saddúkear vildu freista jesú og báðu hann að sýna sér tákn af himni
audio_data_aug/train/wavs/noise-B27___19_Revelation__ISLICEN1DA_09.wav,sem í hásætinu situr og sögðu
audio_data_aug/train/wavs/noise-B05___14_Acts________ISLICEN1DA_44.wav,drottni sem þeir höfðu fest trú á
audio_data_aug/train/wavs/noise-B03___08_Luke________ISLICEN1DA_100.wav,allt fólk í héruðum gerasena
audio_data_aug/train/wavs/noise-B22___02_2Peter______ISLICEN1DA_51.wav,og
audio_data_aug/train/wavs/noise-B06___02_Romans______ISLICEN1DA_17.wav,yfir gyðinginn fyrst en einnig alla aðra
audio_data_aug/train/wavs/noise-B04___17_John________ISLICEN1DA_52.wav,svo að þeir séu eitt eins og við erum eitt ég
audio_data_aug/train/wavs/noise-B05___10_Acts________ISLICEN1DA_20.wav,var hann látinn síga til jarðar á fjórum skautum
audio_data_aug/train/wavs/noise-B19___06_Hebrews_____ISLICEN1DA_17.wav,betur farið og þið nær hjálpræðinu þó að ég mæli svo
audio_data_aug/train/wavs/noise-B01___21_Matthew_____ISLICEN1DA_71.wav,þess vegna segi ég ykkur guðs ríki verður tekið frá ykkur og gefið þeirri þjóð sem ber ávexti þess
audio_data_aug/train/wavs/noise-B03___04_Luke________ISLICEN1DA_48.wav,sannlega segi ég yður
audio_data_aug/train/wavs/noise-B05___10_Acts________ISLICEN1DA_07.wav,hvað er það herra
audio_data_aug/train/wavs/noise-B04___19_John________ISLICEN1DA_59.wav,að láta krossfesta hann
audio_data_aug/train/wavs/noise-B01___05_Matthew_____ISLICEN1DA_11.wav,sælir eru þeir sem ofsóttir eru fyrir réttlætis sakir því að þeirra er himnaríki
audio_data_aug/train/wavs/noise-B01___20_Matthew_____ISLICEN1DA_36.wav,en jesús kallaði þá til sín og mælti
audio_data_aug/train/wavs/noise-B05___08_Acts________ISLICEN1DA_01.wav,sál lét sér vel líka líflát hans
audio_data_aug/train/wavs/noise-B03___10_Luke________ISLICEN1DA_70.wav,hvernig lest þú
audio_data_aug/train/wavs/noise-B04___01_John________ISLICEN1DA_108.wav,og engla guðs stíga upp
audio_data_aug/train/wavs/noise-B04___14_John________ISLICEN1DA_24.wav,og faðirinn í mér
audio_data_aug/train/wavs/noise-B06___07_Romans______ISLICEN1DA_18.wav,er lögmálið synd
audio_data_aug/train/wavs/noise-B03___12_Luke________ISLICEN1DA_29.wav,einn úr mannfjöldanum sagði við jesú
audio_data_aug/train/wavs/noise-B16___03_2Timothy____ISLICEN1DA_25.wav,sérhver ritning er innblásin af guði og nytsöm til fræðslu umvöndunar
audio_data_aug/train/wavs/noise-B06___15_Romans______ISLICEN1DA_48.wav,en þegar ég hef lokið þessu og komið þessu framlagi tryggilega í þeirra hendur ætla ég að fara um hjá ykkur á leið minni til spánar
audio_data_aug/train/wavs/noise-B03___09_Luke________ISLICEN1DA_126.wav,sá sem er ekki á móti ykkur
audio_data_aug/train/wavs/noise-B08___07_2CorinthiansISLICEN1DA_15.wav,nú er ég glaður ekki yfir því að þið urðuð hrygg heldur yfir því
audio_data_aug/train/wavs/noise-B03___01_Luke________ISLICEN1DA_24.wav,hvernig get ég vitað þetta
audio_data_aug/train/wavs/noise-B03___08_Luke________ISLICEN1DA_17.wav,og þyrnarnir spruttu einnig og kæfðu það
audio_data_aug/train/wavs/noise-B19___02_Hebrews_____ISLICEN1DA_25.wav,þá sjáum við ekki enn að allir hlutir séu undir hann lagðir
audio_data_aug/train/wavs/noise-B03___03_Luke________ISLICEN1DA_38.wav,allir voru nú fullir eftirvæntingar og hugsuðu með sjálfum sér hvort jóhannes kynni að vera kristur
audio_data_aug/train/wavs/noise-B09___04_Galatians___ISLICEN1DA_10.wav,sem hrópar
audio_data_aug/train/wavs/noise-B03___22_Luke________ISLICEN1DA_81.wav,þegar hann kom á staðinn sagði hann við þá
audio_data_aug/train/wavs/noise-B07___11_1CorinthiansISLICEN1DA_28.wav,en ætli nú einhver sér að gera þetta að kappsmáli þá er slíkt ekki venja okkar
audio_data_aug/train/wavs/noise-B02___06_Mark________ISLICEN1DA_34.wav,jóhannes sem ég lét hálshöggva
audio_data_aug/train/wavs/noise-B07___16_1CorinthiansISLICEN1DA_26.wav,þeir hafa bætt mér upp fjarvist ykkar verið mér og ykkur til gleði hafið mætur á slíkum mönnum
audio_data_aug/train/wavs/noise-B01___21_Matthew_____ISLICEN1DA_06.wav,lærisveinarnir fóru og gerðu sem jesús hafði boðið þeim komu með ösnuna og folann og lögðu á þau klæði sín
audio_data_aug/train/wavs/noise-B01___02_Matthew_____ISLICEN1DA_16.wav,síðan luku þeir upp fjárhirslum sínum og færðu því gjafir gull reykelsi og myrru
audio_data_aug/train/wavs/noise-B05___22_Acts________ISLICEN1DA_22.wav,þá sagði ég
audio_data_aug/train/wavs/noise-B03___10_Luke________ISLICEN1DA_30.wav,vei þér betsaída
audio_data_aug/train/wavs/noise-B03___05_Luke________ISLICEN1DA_40.wav,en jesús dró sig í hlé og fór til óbyggðra staða og baðst þar fyrir
audio_data_aug/train/wavs/noise-B04___19_John________ISLICEN1DA_65.wav,og með honum tvo aðra
audio_data_aug/train/wavs/noise-B19___08_Hebrews_____ISLICEN1DA_09.wav,eins og móse fékk bendingu um frá guði er hann var að koma upp tjaldbúðinni
audio_data_aug/train/wavs/noise-B27___12_Revelation__ISLICEN1DA_27.wav,að þeim ægði dauði
audio_data_aug/train/wavs/noise-B03___02_Luke________ISLICEN1DA_73.wav,eftir þrjá daga fundu þau hann í helgidóminum
audio_data_aug/train/wavs/noise-B01___07_Matthew_____ISLICEN1DA_10.wav,knýið á og fyrir yður mun upp lokið verða
audio_data_aug/train/wavs/noise-B04___05_John________ISLICEN1DA_97.wav,ætlið eigi að ég muni ákæra yður fyrir föðurnum
audio_data_aug/train/wavs/noise-B07___11_1CorinthiansISLICEN1DA_65.wav,annað mun ég segja til um þegar ég kem
audio_data_aug/train/wavs/noise-B02___06_Mark________ISLICEN1DA_43.wav,en nú kom hentugur dagur á afmæli sínu gerði heródes veislu gæðingum sínum
audio_data_aug/train/wavs/noise-B04___11_John________ISLICEN1DA_103.wav,það er komin nálykt af honum
audio_data_aug/train/wavs/noise-B19___10_Hebrews_____ISLICEN1DA_52.wav,og metur einskis blóðið sem sáttmálinn var grundvallaður á og smánar anda náðarinnar
audio_data_aug/train/wavs/noise-B10___05_Ephesians___ISLICEN1DA_03.wav,ilms
audio_data_aug/train/wavs/noise-B27___03_Revelation__ISLICEN1DA_17.wav,upp
audio_data_aug/train/wavs/noise-B03___07_Luke________ISLICEN1DA_77.wav,og létu skírast af jóhannesi
audio_data_aug/train/wavs/noise-B02___07_Mark________ISLICEN1DA_04.wav,og fylgja þannig erfðavenju forfeðra sinna
audio_data_aug/train/wavs/noise-B03___11_Luke________ISLICEN1DA_09.wav,til komi þitt ríki
audio_data_aug/train/wavs/noise-B05___13_Acts________ISLICEN1DA_72.wav,það skuluð þið því vita bræður og systur að ykkur er fyrir hann boðuð fyrirgefning syndanna og
audio_data_aug/train/wavs/noise-B05___09_Acts________ISLICEN1DA_63.wav,svo bar við er pétur var að ferðast um og vitja allra að hann kom og til hinna heilögu sem áttu heima í lýddu
audio_data_aug/train/wavs/noise-B05___20_Acts________ISLICEN1DA_59.wav,þyrma hjörðinni
audio_data_aug/train/wavs/noise-B09___01_Galatians___ISLICEN1DA_03.wav,− og allir trúaðir sem með mér eru heilsa söfnuðunum í galatalandi
audio_data_aug/train/wavs/noise-B01___21_Matthew_____ISLICEN1DA_66.wav,þeir svara hann mun vægðarlaust tortíma þeim vondu mönnum og selja víngarðinn öðrum vínyrkjum á leigu
audio_data_aug/train/wavs/noise-B01___03_Matthew_____ISLICEN1DA_24.wav,og jóhannes lét það eftir honum
audio_data_aug/train/wavs/noise-B22___03_2Peter______ISLICEN1DA_08.wav,hvað verður úr fyrirheitinu um komu hans
audio_data_aug/train/wavs/noise-B01___26_Matthew_____ISLICEN1DA_33.wav,en júdas sem sveik hann sagði
audio_data_aug/train/wavs/noise-B22___03_2Peter______ISLICEN1DA_06.wav,þetta skuluð þið þá fyrst vita að á síðustu dögum munu koma spottarar
audio_data_aug/train/wavs/noise-B07___12_1CorinthiansISLICEN1DA_32.wav,en nú hefur guð sett hvern einstakan lim á líkamann eins og honum þóknaðist
audio_data_aug/train/wavs/noise-B20___05_James_______ISLICEN1DA_36.wav,kröftug bæn réttláts manns megnar mikið
audio_data_aug/train/wavs/noise-B03___08_Luke________ISLICEN1DA_03.wav,með honum voru þeir tólf og konur nokkrar er læknaðar höfðu verið af illum öndum
audio_data_aug/train/wavs/noise-B03___23_Luke________ISLICEN1DA_02.wav,þeir tóku að ákæra hann og sögðu
audio_data_aug/train/wavs/noise-B05___07_Acts________ISLICEN1DA_109.wav,drottinn lát þá ekki gjalda þessarar syndar
audio_data_aug/train/wavs/noise-B01___14_Matthew_____ISLICEN1DA_24.wav,auk kvenna og barna
audio_data_aug/train/wavs/noise-B05___13_Acts________ISLICEN1DA_29.wav,en eftir upplestur úr lögmálinu og spámönnunum sendu samkundustjórarnir til þeirra og sögðu
audio_data_aug/train/wavs/noise-B02___06_Mark________ISLICEN1DA_14.wav,með frændfólki sínu og heimamönnum
audio_data_aug/train/wavs/noise-B13___02_1Thess______ISLICEN1DA_28.wav,því að þið hafið þolað hið sama af löndum ykkar sem þeir urðu að þola af gyðingum
audio_data_aug/train/wavs/noise-B20___01_James_______ISLICEN1DA_41.wav,en sá sem skyggnist inn í hið fullkomna lögmál frelsisins og heldur sér við það
audio_data_aug/train/wavs/noise-B03___05_Luke________ISLICEN1DA_88.wav,hvort getið þið ætlað brúðkaupsgestum að fasta meðan brúðguminn er hjá þeim
audio_data_aug/train/wavs/noise-B04___19_John________ISLICEN1DA_82.wav,en hann var saumlaus ofinn í eitt ofan frá og niður úr
audio_data_aug/train/wavs/noise-B07___10_1CorinthiansISLICEN1DA_06.wav,var kristur
audio_data_aug/train/wavs/noise-B01___26_Matthew_____ISLICEN1DA_118.wav,og pétur minntist þess er jesús hafði mælt
audio_data_aug/train/wavs/noise-B03___16_Luke________ISLICEN1DA_41.wav,þér getið ekki þjónað guði og mammón
audio_data_aug/train/wavs/noise-B03___07_Luke________ISLICEN1DA_14.wav,því að sjálfur er ég maður sem verður að lúta valdi og ræður yfir hermönnum og ég segi við einn
audio_data_aug/train/wavs/noise-B02___02_Mark________ISLICEN1DA_45.wav,farísearnir sögðu þá við hann lít á hví gera þeir það sem er ekki leyfilegt
